id,shop_id,tag_id
d871ad8c6136429e906706b6de57e2bc,bab89529b009416cbe22c518b726bedc,2b3cc30c9d3040c8a750fe68766d07e3
de214fa830e44f44ad6960ad42a93e63,2319ffc95a4d4c5ca26717d60c31dbf7,958e57b738e54098aeafcbbf171b6746
51747335525f4883a5960efbdaaf0b9e,d25bd183509a4efebf884926f1b4a3cb,d4d780fa701d41f3ab7c804a0319c7f8
a94b7f29f9a149f68bd926a64a210885,f616ceec0f37468fbe0da2d4c8f3e27e,6306dd97e2af4c4dad7c08b763c12e21
2fc09c808d0d4351a558e6483ce5ca44,ebc6c20fed0646b7b63629fdd03c8990,cdedd2f12dfb4d31b4bcad0912acbe5e
a24b9ebec5204be59e83b38d424686fd,1ecc2b7ddaee4805a9b33760d6006af6,cbf9343591b94b1fa7f3e82e8181974c
edac8532013344918158c347aabf8a72,e7cdcf3c0d5a40b884ba0063b735c0a5,cdedd2f12dfb4d31b4bcad0912acbe5e
f9c2b341a6b64a57bdaee48c405c45c0,a78ba3d874554e4585cb97c3a2ec3f76,16826835784d4d7a9c6600ad1e033adc
5d3f1c18a6e648d1bbfae3c305ca0b33,d17d21458cee43aa91a584fd4718bbdb,24eaf196e17f4972b735e6a4f3e12175
132b370e373f48d3ad57eb7e1bea6c4f,edc65cf8d0d54cb2b461383aaf76d0cc,9b7ea07cad544099bc99fe103283329f
30e27fc6f9ea443ca2f33e94ed95adde,5af23f8b1b6f4ec7afdcfe277efbafb2,9f0808041e224a5db45d990342f5c4a4
59644f42f74940c7be9a656e7e074e24,5e0fad86c8a74ec58a384b9c5db113c6,2fafc6acb0c146f0918247192fc5c7b4
f6a83a3cba6943f682df2e00fdfd1687,6318dee2a3ba463fb9aa83db0a950bcf,f93983376bde4275872a7a2d13069b90
6c6381979a404e2c8e50603785fcabff,fd012c14280249a581fa071b668bc6e8,6306dd97e2af4c4dad7c08b763c12e21
06585b7c26a6487eba0864b302c44ae7,3a7f71c95c3043b2a570b87614d1288b,16826835784d4d7a9c6600ad1e033adc
70c6428373714246999c5b253b6fdde2,aeb30878ea3441bbb1f181b8319c2fb3,6306dd97e2af4c4dad7c08b763c12e21
615aff6be723499882d133c51a7d415d,2d675bc2abd34f0d9fc80af306c64066,7fc3cd7be85b42ddae5fadbf2575e7ad
0583bd6d32474abc9bff899c0520d820,9faec7b871e848f48f2f123b3e7e1aa9,c60239a9d99f4f619627b523487bab51
cc4b84906cd24aec83174a56499a481b,69043e22afea4bb0b34b5718ebcb2e2b,d44c8601e2204cfb85f53b7e5d42e310
6c883bb53d1c46c0a5a86d8135785213,f120926527e942f38218af02137bc780,958e57b738e54098aeafcbbf171b6746
2831f4e7e2864556ab15e51bb65a8bdb,84627c7e7380467eb7ed503704c343e5,6306dd97e2af4c4dad7c08b763c12e21
88ad00af0acf41d6803f854f5f53853b,0cb7bf4a40444d2790ed77e779f90021,b2ab4fe6bef140279474c3d018e26443
eacd6aada58843f0bc1f97cbdf98f617,b761f1e713b444968abf362acfc7528b,9152010b683c48cab47bde45d922d076
c92cb9ec610747bcba7a233b05b75cc3,899cf62ee1844924a151b605fdd5f9a3,f93983376bde4275872a7a2d13069b90
aa513e69401a41848a96107e47a77201,e59111699ed1442cbba4a73278556ab8,8cc6d1d158094d4aa18cbee8e4e6a2a9
